'perfect' gold bar;lingotto d'oro "perfetto".
Elaborate lockbox;Cassetta di sicurezza elaborata
Elder (+)(2);Anziano (+)(2)
Elder (-)(2);Anziano (-)(2)
Egniol potion (4);Pozione di Egniol (4)
Elder (+)(1);Anziano (+)(1)
Elder potion (1);Pozione dell'anziano (1)
Elder chaos robe;Veste del caos dell'anziano
Elder chaos hood;Cappuccio del caos anziano
Elder potion (4);Pozione dell'anziano (4)
Elder potion (2);Pozione dell'anziano (2)
Elder cadantine;L'anziano cadentino
Elder chaos top;Il caos dell'anziano è in alto
Elder maul;Maglio dell'anziano
Elder potion (3);Pozione dell'anziano (3)
Elder cadantine potion (unf);Pozione cadentina anziana (unf)
Elemental rune pack;Pacchetto rune elementali
Elemental talisman;Talismano elementale
Eldritch orb;Sfera mistica
Elemental sphere;Sfera elementare
Elemental metal;Metallo elementare
Elena;Elena
Elemental shield;Scudo elementale
Eldritch nightmare staff;Personale da incubo Eldritch
Elemental helmet;Elmo Elementale
Elemental ore;Minerale elementale
Elite void robe;Veste del Vuoto d'élite
Elite void top (broken);Parte superiore del vuoto d'élite (rotta)
Elixir of everlasting;Elisir di eternità
Elite void robe (l);Veste del Vuoto d'élite (l)
Elite void top (l);Top vuoto Elite (l)
Elena portrait;Ritratto di Elena
Elf crystal;Cristallo degli elfi
Elite void robe (broken);Veste del Vuoto d'élite (rotta)
Elf;Elfo
Elite void top;Top vuoto Elite
Elizabeth's print;L'impronta di Elisabetta
Elvarg's head;La testa di Elvarg
Elven dawn;Alba elfica
Elysian sigil;Sigillo elisio
Elven boots;Stivali elfici
Elven signet;Sigillo degli Elfi
Elven skirt;Gonna elfica
Elven gloves;Guanti elfici
Elven legwear;Gambali elfi
Elven top;Parte superiore elfica
Emerald;Smeraldo
Emerald bolts;Bulloni di smeraldo
Emerald bolt tips;Punte dei bulloni color smeraldo
Emerald bolts (e);Viti di smeraldo (e)
Emerald bracelet;Bracciale smeraldo
Emerald amulet (u);Amuleto di smeraldo (u)
Emerald amulet;Amuleto di smeraldo
Elysian spirit shield;Scudo dello spirito elisio
Embalming manual;Manuale di imbalsamazione
Emerald dragon bolts;Dardi del drago di smeraldo
Emerald lantern;Lanterna color smeraldo
Emerald necklace;Collana di smeraldi
Emerald key;Chiave di smeraldo
Empty blaster;Blaster vuoto
Emerald ring;Anello di smeraldo
Empty box;Scatola vuota
Empty bucket;Secchio vuoto
Emerald sickle (b);Falce di smeraldo (b)
Emerald dragon bolts (e);Dardi del drago di smeraldo (e)
Emerald lens;Lente smeraldo
Empty gourd vial;Fiala di zucca vuota
Empty light orb;Sfera luminosa vuota
Empty oil lamp;Lampada a olio vuota
Empty candle lantern;Lanterna a candela vuota
Empty cup;Tazza vuota
Empty bucket pack;Confezione a secchiello vuoto
Empty oil lantern;Lanterna a olio vuota
Empty jug;Brocca vuota
Empty jug pack;Confezione di brocche vuote
Empty fishbowl;Acquario vuoto
Enchant diamond;Incanta il diamante
Enchant dragonstone;Incanta la pietra del drago
Empty wine bottle;Bottiglia di vino vuota
Empty sack;Sacco vuoto
Empty spice shaker;Agitatore per spezie vuoto
Empty oyster;Ostrica vuota
Empty plant pot;Vaso per piante vuoto
Empty vial;Fiala vuota
Empty tax bag;Sacco fiscale vuoto
Empty vial pack;Confezione di fiale vuote
Enchanted egg;Uovo incantato
Enchanted bar;Barra incantata
Enchant sapphire or opal;Incanta zaffiro o opale
Enchanted bear;Orso incantato
Enchanted beef;Manzo incantato
Enchanted chicken;Pollo incantato
Enchanted curtains;Tende incantate
Enchant ruby or topaz;Incanta rubino o topazio
Enchant onyx;Incanta l'onice
Enchant emerald or jade;Incanta smeraldo o giada
Enchanted lyre(4);Lira incantata(4)
Enchanted lyre(1);Lira incantata(1)
Enchanted flour;Farina incantata
Enchanted key;Chiave incantata
Enchanted lyre(3);Lira incantata(3)
Enchanted lyre;Lira incantata
Enchanted gem;Gemma incantata
Enchanted lyre(2);Lira incantata(2)
Enchanted emerald sickle (b);Falce di smeraldo incantata (b)
Enchanted hat;Cappello incantato
Enchanted robe;Veste incantata
Enchanted scroll;Pergamena incantata
Enchanted ruby sickle (b);Falce di rubino incantata (b)
Enchanted milk;Latte incantato
Enchanted quill;Piuma incantata
Enchanted lyre(i);Lira incantata(i)
Enchanted snowy curtains;Tende innevate incantate
Enchanted lyre(5);Lira incantata(5)
Enchanted symbol;Simbolo incantato
Enchanted rat;Ratto incantato
Energy disk (level 1);Disco energetico (livello 1)
Energy disk (level 4);Disco energetico (livello 4)
Energy mix(1);Mix energetico(1)
Energy potion(1);Pozione energetica(1)
Endarkened juice;Succo oscurato
Energy mix(2);Mix energetico(2)
Energy disk (level 2);Disco energetico (livello 2)
Enchanted top;Parte superiore incantata
Enchanted vial;Fiala incantata
Energy disk (level 3);Disco energetico (livello 3)
Energy potion(4);Pozione energetica(4)
Ensouled abyssal head;Testa abissale dotata di anima
Energy potion(2);Pozione energetica(2)
Engine;Motore
Enraged tektiny;Tektiny infuriato
Ensouled bear head;Testa d'orso con anima
Ensouled aviansie head;Testa di aviansie con anima
Enhanced crystal key;Chiave di cristallo migliorata
Energy potion(3);Pozione energetica(3)
Enhanced crystal teleport seed;Seme di teletrasporto di cristallo potenziato
Ensouled dragon head;Testa di drago dotata di anima
Ensouled horror head;Testa horror animata
Ensouled giant head;Testa gigante dotata di anima
Ensouled elf head;Testa di elfo con l'anima
Ensouled chaos druid head;Testa del druido del caos con l'anima
Ensouled demon head;Testa di demone dotata di anima
Ensouled dog head;Testa di cane con anima
Ensouled bloodveld head;Testa di Bloodveld con l'anima
Ensouled goblin head;Testa di goblin dotata di anima
Ensouled dagannoth head;Testa di dagannoth con l'anima
Ensouled scorpion head;Testa di scorpione dotata di anima
Ensouled monkey head;Testa di scimmia dotata di anima
Ensouled ogre head;Testa di orco con l'anima
Ensouled imp head;Testa di diavoletto dotata di anima
Ensouled minotaur head;Testa di minotauro dotata di anima
Ensouled troll head;Testa di troll con anima
Ensouled tzhaar head;Testa di tzhaar dotata di anima
Ensouled unicorn head;Testa di unicorno con anima
Ent's roots;Le radici di Ent
Ensouled kalphite head;Testa kalphite con anima
Essence impling jar;Barattolo per essenza
Eternal boots;Stivali eterni
Entomologist's diary;Il diario dell'entomologo
Etchings;Acqueforti
Essence pack;Pacchetto di essenze
Eternal crystal;Cristallo eterno
Eternal teleport crystal;Cristallo di teletrasporto eterno
Equa toad's legs;Zampe di rospo equa
Equa leaves;Equa lascia
Eternal gem;Gemma eterna
Excalibur;Excalibur
Event rpg;Gioco di ruolo per eventi
Evil chicken wings;Ali di pollo malvagie
Ethenea;Ethenea
Exit portal;Portale d'uscita
Evil chicken's egg;L'uovo di gallina malvagio
Evil root;Radice malvagia
Evil chicken head;Testa di pollo malvagia
Evil chicken legs;Cosce di pollo malvagie
Evil chicken feet;Zampe di gallina malvagie
Explorer's notes;Appunti dell'esploratore
Explorer's ring 2;L'anello dell'esploratore 2
Experimental note;Nota sperimentale
Explorer's ring;L'anello dell'esploratore
Expert mining gloves;Guanti da miniera esperti
Exotic flower;Fiore esotico
Expeditious bracelet;Bracciale rapido
Explorer backpack;Zaino da esploratore
Experiment bone;Esperimento con l'osso
Explorer's ring 1;Anello dell'esploratore 1
Explorer's ring 3;L'anello dell'esploratore 3
Extended antifire(2);Antincendio esteso(2)
Exquisite boots;Stivali squisiti
Extended antifire(1);Antincendio esteso(1)
Explorer's ring 4;L'anello dell'esploratore 4
Extended antifire mix(2);Mix antincendio esteso(2)
Explosive potion;Pozione esplosiva
Exquisite clothes;Vestiti squisiti
Explosive discovery;Scoperta esplosiva
Extended antifire mix(1);Miscela antincendio estesa(1)
Extended super antifire mix(1);Mix super antiincendio esteso(1)
Extended super antifire mix(2);Mix super antiincendio esteso(2)
Extended brush;Pennello esteso
Extended super antifire(4);Super antincendio esteso(4)
Extended antifire(4);Antincendio esteso(4)
Extended antifire(3);Antincendio esteso(3)
Extra supply crate;Cassa di rifornimenti extra
Extended super antifire(1);Super antincendio esteso(1)
Extended super antifire(2);Super antincendio esteso(2)
Extended super antifire(3);Super antincendio esteso(3)
Eye of gnome;Occhio di gnomo
Extradimensional bag;Borsa extradimensionale
Fake beak;Becco finto
Fairy enchantment;Incanto delle fate
Extra weapons rack;Rastrelliera per armi extra
Eye of newt;Occhio di tritone
Fairy mushroom;Fungo fatato
Facemask;Mascherina
Fairy ring;Anello fata
Eye of newt pack;Occhio del branco di tritoni
Falconer's glove;Guanto del falconiere
Fake man;Uomo falso
Falador shield;Scudo Falador
Falador shield 4;Scudo Falador 4
Falador teleport;Teletrasporto Falador
Falador shield 1;Scudo Falador 1
Falador shield 2;Scudo Falador 2
Fake dragon hasta(kp);Hasta del drago falso(kp)
Fake beard;Barba finta
Falador shield 3;Scudo Falador 3
Fancy teak dresser;Comò fantasia in teak
Fang;Zanna
Fancy range;Gamma fantasia
Fancy rejuvenation pool;Piscina di ringiovanimento fantasia
Fancy boots;Stivali fantasiosi
Family crest;Stemma di famiglia
Fancy hedge;Siepe fantasia
Fancy tiara;Tiara fantasia
Farmer;Contadino
Fancy jewellery box;Portagioielli fantasia
Farmer's boro trousers;Pantaloni boro del contadino
Farming cape;Mantello agricolo
Farming manual;Manuale di agricoltura
Farmer's jacket;Giacca da contadino
Farming cape(t);Mantello agricolo (t)
Farming hood;Cappa agricola
Farmer's boots;Stivali da contadino
Farmer's strawhat;La paglia del contadino
Farmer's fork;La forchetta del contadino
Farmer's shirt;Maglia da contadino
Fayrg bonemeal;Farina di ossa Fayrg
Feldip hills teleport;Teletrasporto di Feldip Hills
Feather pack;Confezione di piume
Fat snail;Lumaca grassa
Fat snail meat;Carne grassa di lumaca
Farseer helm;Elmo del lungimirante
Fedora;Fedora
Fayrg bones;Ossa di Fayrg
Feather;Piuma
Feathered journal;Diario piumato
Feldip weasel fur;Pelliccia di donnola feldip
Ferocious gloves;Guanti feroci
Fern;Felce
Festive flour;Farina festiva
Fenkenstrain's castle teleport;Teletrasporto del castello di Fenkenstrain
Female h.a.m.;Prosciutto femminile
Festive cinnamon stick;Bastoncino di cannella festivo
Fencing ring;Anello di scherma
Ferret;Furetto
Festive egg;Uovo festivo
Festive ginger powder;Polvere di zenzero festiva
Fighter hat (broken);Cappello da combattente (rotto)
Field ration;Razione di campo
Fez;Fez
Field arrow;Freccia di campo
Festive pot;Vaso festivo
Fibula piece;Pezzo di perone
Fever spider body;Corpo del ragno della febbre
Fighter hat;Cappello da combattente
Fever spider;Ragno della febbre
Fine cloth;Panno pregiato
Fighter torso (l);Torso del combattente (l)
Fighter torso (broken);Torso del combattente (rotto)
Fighter hat (l);Cappello da combattente (l)
Fighter torso;Torso da combattente
Fine mesh net;Rete a maglia fine
Fingernails;Unghie
Fighting boots;Stivali da combattimento
Filled plant pot;Vaso per piante pieno
Fillets;Filetti
Fire battlestaff;Bastone da battaglia del fuoco
Fire cape (l);Mantello da fuoco (l)
Fire giant bone;Osso gigante del fuoco
Fire max cape (broken);Mantello del fuoco massimo (rotto)
Fingers;Dita
Fire feather;Piuma di fuoco
Fire cape;Mantello di fuoco
Fire;Fuoco
Fire cape (broken);Mantello di fuoco (rotto)
Fire max cape;Mantello massimo di fuoco
Fire max hood;Cappa Firemax
Fire of nourishment;Fuoco di nutrimento
Fire of dehumidification;Fuoco di deumidificazione
Fire of eternal light;Fuoco di luce eterna
Fire rune;Runa del fuoco
Fire max cape (l);Mantello Fire Max (l)
Fire rune (nz);Runa del fuoco (nz)
Fire rune pack;Pacchetto rune del fuoco
Fire orb;Sfera di fuoco
Fire of unseasonal warmth;Fuoco di calore fuori stagione
Fire tiara;Tiara di fuoco
Firepit with pot;Braciere con pentola
Firemaking tome;Tomo sul fuoco
Firepit with hook;Braciere con gancio
Firework;Fuochi d'artificio
Firemaking cape;Mantello antincendio
Firemaking hood;Cappa antincendio
Fire talisman;Talismano del fuoco
Firepit;Braciere
Firemaking cape(t);Mantello antincendio(t)
Fishbowl;Acquario
Fish barrel;Barile di pesce
Fish chunks;Bocconcini di pesce
Fish sack;Sacco di pesce
Fish pie;Torta di pesce
Fish vial;Fiala di pesce
Fish food;Cibo per pesci
Fiscal statement;Dichiarazione fiscale
Fish offcuts;Ritagli di pesce
Fish sack barrel;Barile per sacco di pesce
Fishbowl helmet;Casco a boccia per pesci
Fishing cape;Mantella da pesca
Fishing mix(2);Miscela di pesca(2)
Fishing explosive;Pesca esplosiva
Fishbowl and net;Acquario e rete
Fishing bait;Esca da pesca
Fishing mix(1);Miscela di pesca(1)
Fishing cape(t);Mantella da pesca(t)
Fishing guild teleport;Teletrasporto della gilda di pescatori
Fishing hood;Cappa da pesca
Fishing potion(3);Pozione da pesca(3)
Fishing tome;Tomo sulla pesca
Fishing potion(2);Pozione da pesca(2)
Fishing potion(4);Pozione da pesca(4)
Fishing rod;Canna da pesca
Fishy chocolate mix;Miscela di cioccolato al pesce
Fishing trophy;Trofeo di pesca
Fishing pass;Passaggio di pesca
Fishing potion(1);Pozione da pesca(1)
Fishlike thing;Una cosa simile a un pesce
Five barrels;Cinque barili
Flamtaer hammer;Martello Flamtaer
Flared trousers;Pantaloni svasati
Flamtaer bracelet;Bracciale Flamtaer
Flamtaer bag;Borsa Flamtaer
Fishy easter egg;Uovo di Pasqua di pesce
Fiyr remains;Fiyr rimane
Flame pit;Pozzo di fiamma
Fixed device;Dispositivo fisso
Flash powder;Polvere istantanea
Flaygian's notes;Gli appunti di Flaygian
Fletching cape(t);Mantello impennato(t)
Fletching cape;Mantello impennato
Flour;Farina
Flippers;Pinne
Floor decoration;Decorazione del pavimento
Flighted ogre arrow;Freccia dell'orco in volo
Flattened hide;Pelle appiattita
Flax;Lino
Fletching hood;Cappuccio impennato
Fly fishing rod;Canna da pesca a mosca
Fluffy easter egg;Uovo di Pasqua soffice
Fluffs' kitten;Il gattino di Fluffs
Fluffy feathers;Piume soffici
Forest habitat;Habitat forestale
Fluffy chocolate mix;Miscela soffice al cioccolato
Flypaper;Carta moschicida
Footprint;Orma
Flyer;Volantino
Flying vespina;Vespina volante
Fossil island note book;Taccuino dell'isola fossile
Fossilised stump;Ceppo fossilizzato
Formal garden;Giardino formale
Fossilised mushroom;Fungo fossilizzato
Four barrels;Quattro barili
Fossilised branch;Ramo fossilizzato
Fossilised leaf;Foglia fossilizzata
Forlorn boot;Stivale desolato
Fossil island wyvern;Viverna dell'isola fossile
Fossilised roots;Radici fossilizzate
Fremennik ballad;Ballata Fremennik
Fox;Volpe
Fractured crystal;Cristallo fratturato
Frank's print;L'impronta di Frank
Fragment 1;Frammento 1
Four-poster bed;Letto a baldacchino
Fragment 3;Frammento 3
Fragment 2;Frammento 2
Free to play starter pack;Pacchetto iniziale gratuito per giocare
Fremennik;Fremennik
Fremennik blue cloak;Mantello blu dei Fremennik
Fremennik gloves;Guanti Fremennik
Fremennik blade;Lama Fremennik
Fremennik blue shirt;Maglia blu dei Fremennik
Fremennik beige shirt;Camicia beige Fremennik
Fremennik brown cloak;Mantello marrone Fremennik
Fremennik cyan cloak;Mantello ciano Fremennik
Fremennik black cloak;Mantello nero dei Fremennik
Fremennik boots;Stivali Fremennik
Fremennik brown shirt;Camicia marrone Fremennik
Fremennik green cloak;Mantello verde Fremennik
Fremennik grey shirt;Camicia grigia Fremennik
Fremennik purple cloak;Mantello viola dei Fremennik
Fremennik kilt;Gonnellino Fremennik
Fremennik red shirt;Camicia rossa dei Fremennik
Fremennik helm;Elmo Fremennik
Fremennik pink cloak;Mantello rosa Fremennik
Fremennik red cloak;Mantello rosso dei Fremennik
Fremennik hat;Cappello Fremennik
Fremennik grey cloak;Mantello grigio Fremennik
Fremennik sea boots;Stivali da mare Fremennik
Fremennik sea boots 4;Stivali da mare Fremennik 4
Fremennik shield;Scudo Fremennik
Fremennik sea boots 1;Stivali da mare Fremennik 1
Fremennik sea boots 3;Stivali da mare Fremennik 3
Fremennik skirt;Gonna Fremennik
Fremennik yellow cloak;Mantello giallo Fremennik
Fremennik sea boots 2;Stivali da mare Fremennik 2
Fremennik teal cloak;Mantello verde acqua Fremennik
Fremennik robe;Veste Fremennik
Fresh fish;Pesce fresco
Fried mushrooms;Funghi fritti
Fresh chocolate mix;Miscela di cioccolato fresco
Fresh crab shell;Guscio di granchio fresco
Frog mask;Maschera da rana
Fresh monkfish;Rana pescatrice fresca
Fresh crab claw;Chela di granchio fresca
Fresh easter egg;Uovo di Pasqua fresco
Frog slippers;Pantofole a forma di rana
Fried onions;Cipolle fritte
Frog-leather body;Corpo in pelle di rana
Frozen bucket;Secchio congelato
Frogspawn gumbo;Gumbo di razza rana
Frog token;Gettone rana
Frog-leather chaps;Ghette in pelle di rana
Frozen abyssal whip;Frusta abissale congelata
Frog-leather boots;Stivali in pelle di rana
Frozen jug;Brocca congelata
Frogburger;Hamburger di rana
Frog spawn;Uova di rana
Frozen whip mix;Miscela di frusta congelata
Frozen vase;Vaso congelato
Frying pan;Padella
Full bucket;Secchio pieno
Full folder;Cartella completa
Fruit batta;Battatina alla frutta
Fruity easter egg;Uovo di Pasqua fruttato
Frozen key;Chiave congelata
Fruit blast;Esplosione di frutta
Fruity chocolate mix;Miscela di cioccolato fruttato
Fungicide spray 10;Spray fungicida 10
Fungicide spray 3;Spray fungicida 3
Fungicide spray 1;Spray fungicida 1
Fungicide spray 4;Spray fungicida 4
Full jug;Brocca piena
Fungicide;Fungicida
Full kettle;Bollitore pieno
Fungicide spray 0;Spray fungicida 0
Fungicide spray 2;Spray fungicida 2
Fungicide spray 5;Spray fungicida 5
Fungicide spray 7;Spray fungicida 7
Gadderhammer;Gadderhammer
Game book;Libro del gioco
Fur head;Testa di pelliccia
Fungicide spray 9;Spray fungicida 9
Fur;Pelliccia
Fury ornament kit;Kit ornamento Furia
Fungicide spray 6;Spray fungicida 6
Fuse;Fusibile
Fungicide spray 8;Spray fungicida 8
Games necklace(4);Collana di giochi(4)
Games necklace(5);Collana di giochi(5)
Games necklace(2);Collana di giochi(2)
Games necklace(3);Collana di giochi(3)
Games necklace(7);Collana di giochi(7)
Games necklace(6);Collana di giochi(6)
Games necklace(8);Collana di giochi(8)
Gang meeting info;Informazioni sulle riunioni delle bande
Games necklace(1);Collana di giochi(1)
Games room;Sala giochi
Gardening boots;Stivali da giardinaggio
Garlic;Aglio
Garden cane;Canna da giardino
Garden pie;Torta del giardino
Gardening trowel;Cazzuola da giardinaggio
Garden brush;Spazzola da giardino
