'perfect' gold bar;"täydellinen" kultaharkko
Dragon bolts;Dragon pultit
Dragon bitter(4);Lohikäärme katkera (4)
Dragon bitter(m2);Dragon bitter (m2)
Dragon bitter(m1);Dragon bitter (m1)
Dragon bolts (p+);Dragon pultit (p+)
Dragon bitter(m4);Dragon bitter (m4)
Dragon bitter(m3);Dragon bitter (m3)
Dragon bolts (unf);Dragon pultit (unf)
Dragon boots ornament kit;Lohikäärmeen saappaiden koristesarja
Dragon bones;Lohikäärmeen luut
Dragon chainbody;Lohikäärmeen ketjurunko
Dragon bonemeal;Lohikäärmeen luujauho
Dragon boots;Dragon saappaat
Dragon chainbody (g);Lohikäärmeen ketjurunko (g)
Dragon boots (g);Lohikäärmeen saappaat (g)
Dragon cane;Dragon keppi
Dragon bracelet;Dragon rannekoru
Dragon claws;Lohikäärmeen kynnet
Dragon dagger(p++);Dragon tikari (p++)
Dragon crossbow;Lohikäärmeen varsijousi
Dragon dart;Lohikäärmeen tikka
Dragon crossbow (u);Lohikäärmeen varsijousi (u)
Dragon chainbody ornament kit;Lohikäärmeen ketjurunko-koristesarja
Dragon dart tip;Lohikäärmeen tikkakärki
Dragon dagger(p+);Dragon tikari (p+)
Dragon dagger(p);Dragon tikari (p)
Dragon dagger;Dragon tikari
Dragon dart(p++);Dragon dart (p++)
Dragon defender (t);Lohikäärmeen puolustaja (t)
Dragon fire arrow;Lohikäärmeen nuoli
Dragon defender (l);Lohikäärmeen puolustaja (l)
Dragon defender ornament kit;Lohikäärmeen puolustaja -koristesarja
Dragon fire arrow (lit);Lohikäärmeen tulinuoli (palaa)
Dragon dart(p+);Dragon dart (p+)
Dragon defender;Lohikäärmeen puolustaja
Dragon dart(p);Dragon dart (p)
Dragon defender (broken);Lohikäärmeen puolustaja (rikki)
Dragon hasta;Dragon hasta
Dragon hasta(p);Dragon hasta(p)
Dragon full helm ornament kit;Lohikäärmeen täyden ruorin koristesarja
Dragon harpoon (or);Lohikäärmeharppuuna (tai)
Dragon gloves;Dragon käsineet
Dragon harpoon;Lohikäärmeen harppuuna
Dragon hasta(kp);Dragon hasta (kp)
Dragon halberd;Dragon alabardi
Dragon full helm;Dragon täysi ruori
Dragon full helm (g);Lohikäärmeen täysi ruori (g)
Dragon inn tankard;Dragon inn tankard
Dragon hunter lance;Lohikäärmeenmetsästäjän keihä
Dragon impling jar;Dragon Impling jar
Dragon hasta(p+);Dragon hasta(p+)
Dragon hunter crossbow;Dragon hunter varsijousi
Dragon hasta(p++);Dragon hasta(p++)
Dragon javelin(p);Lohikäärme keihäs(p)
Dragon javelin;Lohikäärmeen keihäs
Dragon javelin heads;Lohikäärmeen keihäänpäät
Dragon javelin(p+);Lohikäärmeen keihäs(p+)
Dragon kiteshield;Dragon kiteshield
Dragon knife(p+);Lohikäärmeveitsi (p+)
Dragon javelin(p++);Lohikäärmeen keihäs(p++)
Dragon knife(p++);Lohikäärmeveitsi (p++)
Dragon kiteshield (g);Lohikäärmeen leijakilpi (g)
Dragon knife;Lohikäärmeen veitsi
Dragon knife(p);Lohikäärmeveitsi (p)
Dragon key;Dragon avain
Dragon kiteshield ornament kit;Dragon kiteshield -koristesarja
Dragon key piece;Dragon avainkappale
Dragon metal slice;Lohikäärmeen metalliviipale
Dragon longsword;Lohikäärmeen pitkä miekka
Dragon med helm;Dragon med ruori
Dragon metal lump;Lohikäärmemetallipala
Dragon limbs;Lohikäärmeen raajat
Dragon mace;Lohikäärmeen nuija
Dragon metal shard;Lohikäärmeen metallisirpale
Dragon legs/skirt ornament kit;Lohikäärmeen jalkojen/hameen koristesarja
Dragon necklace;Dragon kaulakoru
Dragon pickaxe;Lohikäärmehakku
Dragon platebody ornament kit;Dragon platebody -koristesarja
Dragon pickaxe (or);Lohikäärmehakku (tai)
Dragon plateskirt;Dragon levyhame
Dragon plateskirt (g);Dragon platehame (g)
Dragon scale dust;Lohikäärmeen pöly
Dragon platebody (g);Lohikäärmeen levyrunko (g)
Dragon platelegs (g);Lohikäärmeen lautaset (g)
Dragon platebody;Lohikäärmeen levyrunko
Dragon pickaxe upgrade kit;Dragon Picaxe -päivityssarja
Dragon platelegs;Lohikäärmeen levyjalat
Dragon sq shield;Dragon sq kilpi
Dragon spear(kp);Lohikäärmekeihäs (kp)
Dragon spear(p+);Lohikäärmekeihäs(p+)
Dragon spear;Lohikäärmeen keihäs
Dragon spear(p);Lohikäärmeen keihäs (p)
Dragon spear(p++);Lohikäärmekeihäs(p++)
Dragon scimitar (or);Dragon scimitar (tai)
Dragon scimitar ornament kit;Dragon scimitar -koristesarja
Dragon scimitar;Lohikäärmeleikkuri
Dragon sq shield (g);Dragon sq shield (g)
Dragon warhammer;Lohikäärmeen sotavasara
Dragonfire shield;Dragonfire kilpi
Dragonbone necklace;Dragonbone kaulakoru
Dragonfruit pie;Dragonfruit piirakka
Dragon sword;Lohikäärmeen miekka
Dragon thrownaxe;Lohikäärmeen heittäjä
Dragonfire ward;Dragonfiren osasto
Dragonfruit;Dragonfruit
Dragon sq shield ornament kit;Dragon sq -kilven koristesarja
Dragon token;Lohikäärmeen merkki
Dragonstone;Dragonstone
Dragonstone bolt tips;Dragonstone pultin kärjet
Dragonstone amulet (u);Dragonstone amuletti (u)
Dragonstone amulet;Dragonstone amuletti
Dragonfruit seedling;Dragonfruit taimi
Dragonfruit sapling;Dragonfruit taimi
Dragonstone bolts;Dragonstone pultit
Dragonfruit tree seed;Dragonfruit puun siemen
Dragonstone armour set;Dragonstone-panssarisarja
Dragonfruit seedling (w);Lohikäärmeen taimi (w)
Dragonstone full helm;Dragonstone täysi ruori
Dragonstone gauntlets;Dragonstone-hansikkaat
Dragonstone dragon bolts;Dragonstone lohikäärme pultit
Dragonstone dragon bolts (e);Dragonstone lohikäärme pultit (e)
Dragonstone platebody;Dragonstone levyrunko
Dragonstone boots;Dragonstone saappaat
Dragonstone bracelet;Dragonstone rannekoru
Dragonstone ring;Dragonstone sormus
Dragonstone bolts (e);Dragonstone pultit (e)
Dragonstone platelegs;Dragonstone-levyjalat
Draynor manor teleport;Draynorin kartanon teleportti
Drake's tooth;Draken hammas
Drake bones;Draken luut
Drakan's medallion;Drakanin medaljonki
Drake's claw;Draken kynsi
Draynor skull;Draynorin kallo
Dramen branch;Dramenin haara
Dramen staff;Dramenin henkilökunta
Drake;Drake
Drake bonemeal;Draken luujauho
Dreamy lamp;Unenomainen lamppu
Drift net;Ajoverkko
Dried thistle;Kuivattu ohdake
Dream potion;Unelmajuoma
Druid's robe;Druidin kaapu
Dream vial (water);Unelmapullo (vesi)
Druid pouch;Druidi pussi
Dream vial (empty);Dream-pullo (tyhjä)
Dream log;Unelma loki
Dream vial (herb);Unelmapullo (yrtti)
Dual sai;Dual sai
Drunk dragon;Humalassa lohikäärme
Dummy;Nukke
Drunk parrot;Humalassa papukaija
Dummy portal;Tyhmä portaali
Druidic wreath;Druidinen seppele
Dungeon corridor;Dungeonin käytävä
Druidic spell;Druidinen loitsu
Dry sticks;Kuivat tikut
Druid's robe top;Druidin kaapullinen toppi
Dwarf brew;Kääpiö olut
Dwarf;Kääpiö
Dust rune;Pölyriimu
Dust devil;Pöly paholainen
Dusty scroll;Pölyinen rulla
Dungeon entrance;Dungeonin sisäänkäynti
Dungeon stairs;Dungeonin portaat
Dust battlestaff;Pölytaistelutasuva
Dungeon cross;Dungeon cross
Dusty key;Pölyinen avain
Dwarf remains;Kääpiö jää
Dwarf weed;Kääpiö rikkaruoho
Dwarven battleaxe;Kääpiöiden taistelukirves
Dwarven rock cake;Dwarven rock kakku
Dwarven stout;Dwarven stout
Dwarf cannon set;Kääpiötykkisarja
Dwarf weed seed;Dwarf rikkakasvien siemen
Dwarven helmet;Dwarven kypärä
Dwarven lore;Kääpiöiden tarina
Dwarf weed potion (unf);Kääpiö rikkaruohojuoma (unf)
Dwarven stout(m);Dwarven stout (m)
Dwarven stout(m2);Dwarven stout (m2)
Dwarven stout(2);Dwarven stout (2)
Dwellberries;Asukasmarjat
Dwarven stout(4);Dwarven stout (4)
Dwarven stout(m3);Dwarven stout (m3)
Dwarven stout(1);Dwarven stout (1)
Dwarven stout(3);Dwarven stout (3)
Dwarven stout(m1);Dwarven stout (m1)
Dwarven stout(m4);Dwarven stout (m4)
Dynamite;Dynamiitti
Eagle feather;Kotkan sulka
Earmuffs;Kuulosuojaimet
Eagle cape;Kotkan viitta
Eagle lectern;Kotkan puheenvuoro
Dwellberry seed;Dwellberryn siemen
Earth battlestaff;Maan taisteluhenkilöstö
Dynamite pot;Dynamiitti potti
Earth impling jar;Maan impling jar
Dyed orange;Oranssiksi värjätty
Earthy easter egg;Maanläheinen pääsiäismuna
Earth rune (nz);Maan riimu (nz)
Earthy chocolate mix;Maanläheinen suklaaseos
Earth talisman;Maan talisman
Easter;pääsiäinen
Earth orb;Maapallo
Earth rune;Maan riimu
Earth rune pack;Maan riimupaketti
Earth tiara;Maan tiara
Earth warrior champion scroll;Maan soturimestari rulla
Easter egg helm;Pääsiäismunan kypärä
Easter blaster;Pääsiäinen blaster
Eclectic impling jar;Eklektinen impling-purkki
Eathram & rada extract;Eathram & rada -uute
Easter basket;Pääsiäiskori
Easter egg;Pääsiäismuna
Ebrill's journal;Ebrillin päiväkirja
Eastern discovery;Itäinen löytö
Eastern settlement;Itäinen asutus
Easter ring;Pääsiäissormus
Ecumenical key;Ekumeeninen avain
Edible seaweed;Syötävä merilevä
Efaritay's aid;Efaritayn apu
Edern's journal;Edernin päiväkirja
Ecto-token;Ekto-tunnus
Eek;Eek
Ectophial;Ulkopuolinen
Ectoplasmator;Ektoplasmaattori
Eel sushi;Ankerias sushia
Efh salt;Efh suolaa
Eggshell platebody;Munankuoren levyrunko
Egg;Muna
Egg whisk;Muna vispilä
Egniol potion (3);Egniol juoma (3)
Egg mould;Munan muotti
Eggshell platelegs;Munankuoren levyjalat
Egg and tomato;Muna ja tomaatti
Egniol potion (1);Egniol juoma (1)
Egg potato;Muna peruna
Egniol potion (2);Egniol juoma (2)
Elder (-)(3);Vanhin (-)(3)
Elder (+)(3);Vanhin (+) (3)
Elder (+)(4);Vanhin (+) (4)
Elder (-)(1);Vanhin (-)(1)
Elder (-)(4);Vanhin (-)(4)
Elaborate lockbox;Hienostunut lukkolaatikko
Elder (+)(2);Vanhin (+) (2)
Elder (-)(2);Vanhin (-)(2)
Egniol potion (4);Egniol juoma (4)
Elder (+)(1);Vanhin (+) (1)
Elder potion (1);Vanhin juoma (1)
Elder chaos robe;Vanhin kaaosviitta
Elder chaos hood;Vanhin kaaoshuppu
Elder potion (4);Vanhin juoma (4)
Elder potion (2);Vanhin juoma (2)
Elder cadantine;Vanhin cadantine
Elder chaos top;Vanhin kaaos toppi
Elder maul;Vanhin maul
Elder potion (3);Vanhin juoma (3)
Elder cadantine potion (unf);Vanhin cadantine juoma (unf)
Elemental rune pack;Elementaarinen riimupaketti
Elemental talisman;Elementaarinen talisman
Eldritch orb;Eldritch pallo
Elemental sphere;Alkuainepallo
Elemental metal;Elementaarista metallia
Elena;Elena
Elemental shield;Elementaarinen suoja
Eldritch nightmare staff;Eldritch painajainen henkilökunta
Elemental helmet;Elementaarinen kypärä
Elemental ore;Alkuainemalmi
Elite void robe;Elite tyhjiö kaapu
Elite void top (broken);Elite tyhjä toppi (rikki)
Elixir of everlasting;Ikuisuuden eliksiiri
Elite void robe (l);Elite tyhjä kaapu (l)
Elite void top (l);Elite tyhjä toppi (l)
Elena portrait;Elenan muotokuva
Elf crystal;Tonttu kristalli
Elite void robe (broken);Elite tyhjiö kaapu (rikki)
Elf;Elf
Elite void top;Elite tyhjä toppi
Elizabeth's print;Elizabethin printti
Elvarg's head;Elvargin pää
Elven dawn;Haltioiden aamunkoitto
Elysian sigil;Elysian merkki
Elven boots;Haltian saappaat
Elven signet;Haltioiden sinetti
Elven skirt;Haltian hame
Elven gloves;Haltiat käsineet
Elven legwear;Haltioiden jalkavaatteet
Elven top;Haltioiden toppi
Emerald;Smaragdi
Emerald bolts;Smaragdipultit
Emerald bolt tips;Smaragdipultin kärjet
Emerald bolts (e);Smaragdipultit (e)
Emerald bracelet;Smaragdi rannekoru
Emerald amulet (u);Smaragdi amuletti (u)
Emerald amulet;Emerald amuletti
Elysian spirit shield;Elysian henkikilpi
Embalming manual;Palsamointiohje
Emerald dragon bolts;Emerald lohikäärme pultit
Emerald lantern;Smaragdi lyhty
Emerald necklace;Smaragdi kaulakoru
Emerald key;Smaragdi avain
Empty blaster;Tyhjä blasteri
Emerald ring;Smaragdisormus
Empty box;Tyhjä laatikko
Empty bucket;Tyhjä ämpäri
Emerald sickle (b);smaragdi sirppi (b)
Emerald dragon bolts (e);Emerald lohikäärme pultit (e)
Emerald lens;Emerald linssi
Empty gourd vial;Tyhjä kurpitsapullo
Empty light orb;Tyhjä valopallo
Empty oil lamp;Tyhjä öljylamppu
Empty candle lantern;Tyhjä kynttilälyhty
Empty cup;Tyhjä kuppi
Empty bucket pack;Tyhjä ämpäripakkaus
Empty oil lantern;Tyhjä öljylyhty
Empty jug;Tyhjä kannu
Empty jug pack;Tyhjä kannupakkaus
Empty fishbowl;Tyhjä kalakulho
Enchant diamond;Lumoa timantti
Enchant dragonstone;Lumoa lohikäärmekivi
Empty wine bottle;Tyhjä viinipullo
Empty sack;Tyhjä säkki
Empty spice shaker;Tyhjä maustesekoitin
Empty oyster;Tyhjä osteri
Empty plant pot;Tyhjä ruukku
Empty vial;Tyhjä pullo
Empty tax bag;Tyhjä veropussi
Empty vial pack;Tyhjä injektiopullopakkaus
Enchanted egg;Lumottu muna
Enchanted bar;Lumottu baari
Enchant sapphire or opal;Lumoa safiiri tai opaali
Enchanted bear;Lumottu karhu
Enchanted beef;Lumottu naudanliha
Enchanted chicken;Lumottu kana
Enchanted curtains;Lumotut verhot
Enchant ruby or topaz;Lumo rubiini tai topaasi
Enchant onyx;Lumoa onyksi
Enchant emerald or jade;Lumo smaragdi tai jade
Enchanted lyre(4);Lumottu lyyra (4)
Enchanted lyre(1);Lumottu lyyra (1)
Enchanted flour;Lumottu jauhot
Enchanted key;Lumottu avain
Enchanted lyre(3);Lumottu lyyra (3)
Enchanted lyre;Lumottu lyyra
Enchanted gem;Lumottu helmi
Enchanted lyre(2);Lumottu lyyra (2)
Enchanted emerald sickle (b);Lumottu smaragdisirppi (b)
Enchanted hat;Lumottu hattu
Enchanted robe;Lumottu viitta
Enchanted scroll;Lumottu rulla
Enchanted ruby sickle (b);Lumottu rubiini sirppi (b)
Enchanted milk;Lumottu maito
Enchanted quill;Lumottu sulka
Enchanted lyre(i);Lumottu lyyra (i)
Enchanted snowy curtains;Lumotut lumiset verhot
Enchanted lyre(5);Lumottu lyyra (5)
Enchanted symbol;Lumottu symboli
Enchanted rat;Lumottu rotta
Energy disk (level 1);Energialevy (taso 1)
Energy disk (level 4);Energialevy (taso 4)
Energy mix(1);Energiayhdistelmä (1)
Energy potion(1);Energiajuoma(1)
Endarkened juice;Pimentynyt mehu
Energy mix(2);Energiayhdistelmä(2)
Energy disk (level 2);Energialevy (taso 2)
Enchanted top;Lumottu toppi
Enchanted vial;Lumottu pullo
Energy disk (level 3);Energialevy (taso 3)
Energy potion(4);Energiajuoma(4)
Ensouled abyssal head;Sieluttu syvennyspää
Energy potion(2);Energiajuoma(2)
Engine;Moottori
Enraged tektiny;Raivostunut tektiny
Ensouled bear head;Sieluttu karhun pää
Ensouled aviansie head;Sieluttu lintupää
Enhanced crystal key;Parannettu kristalliavain
Energy potion(3);Energiajuoma(3)
Enhanced crystal teleport seed;Parannettu kristalliteleportti siemen
Ensouled dragon head;Sieluttu lohikäärmeen pää
Ensouled horror head;Sieluttu kauhupää
Ensouled giant head;Sieluttu jättiläinen pää
Ensouled elf head;Sieluttu tonttupää
Ensouled chaos druid head;Sieluinen kaaosdruidin pää
Ensouled demon head;Sieluttu demonin pää
Ensouled dog head;Sieluttu koiran pää
Ensouled bloodveld head;Sydämellinen verinen pää
Ensouled goblin head;Sieluttu peikkopää
Ensouled dagannoth head;Sieluttu dagannoth pää
Ensouled scorpion head;Sieluttu skorpionin pää
Ensouled monkey head;Sieluttu apinan pää
Ensouled ogre head;Sieluttu ogre pää
Ensouled imp head;Sieluttu imp pää
Ensouled minotaur head;Sieluttu minotauruksen pää
Ensouled troll head;Sieluttu trollin pää
Ensouled tzhaar head;Sieluttu tzhaar pää
Ensouled unicorn head;Sieluttu yksisarvisen pää
Ent's roots;Entin juuret
Ensouled kalphite head;Sieluinen kalfiittipää
Essence impling jar;Essence-impling-purkki
Eternal boots;Ikuiset saappaat
Entomologist's diary;Entomologin päiväkirja
Etchings;Etsaus
Essence pack;Essence pakkaus
Eternal crystal;Ikuinen kristalli
Eternal teleport crystal;Ikuinen teleporttikristalli
Equa toad's legs;Equa rupikonnan jalat
Equa leaves;Equa lehtiä
Eternal gem;Ikuinen helmi
Excalibur;Excalibur
Event rpg;Tapahtuman rpg
Evil chicken wings;Pahat kanan siivet
Ethenea;Ethenea
Exit portal;Poistu portaalista
Evil chicken's egg;Pahan kananmuna
Evil root;Pahan juuri
Evil chicken head;Paha kanan pää
Evil chicken legs;Pahat kanan jalat
Evil chicken feet;Pahat kanan jalat
Explorer's notes;Tutkijan muistiinpanot
Explorer's ring 2;Tutkijan sormus 2
Experimental note;Kokeellinen huomautus
Explorer's ring;Tutkijan sormus
Expert mining gloves;Asiantuntevat kaivoshanskat
Exotic flower;Eksoottinen kukka
Expeditious bracelet;Nopea rannekoru
Explorer backpack;Explorer-reppu
Experiment bone;Kokeilu luu
Explorer's ring 1;Tutkijan sormus 1
Explorer's ring 3;Tutkijan sormus 3
Extended antifire(2);Laajennettu palonesto (2)
Exquisite boots;Hienot saappaat
Extended antifire(1);Laajennettu palonesto (1)
Explorer's ring 4;Tutkijan sormus 4
Extended antifire mix(2);Laajennettu palonestosekoitus (2)
Explosive potion;Räjähtävä juoma
Exquisite clothes;Hienoja vaatteita
Explosive discovery;Räjähtävä löytö
Extended antifire mix(1);Laajennettu palonestosekoitus (1)
Extended super antifire mix(1);Laajennettu superpalonestosekoitus(1)
Extended super antifire mix(2);Laajennettu superpalonestosekoitus(2)
Extended brush;Jatkettu harja
Extended super antifire(4);Laajennettu superpalonesto (4)
Extended antifire(4);Laajennettu palonesto (4)
Extended antifire(3);Laajennettu palonesto (3)
Extra supply crate;Lisätarvikelaatikko
Extended super antifire(1);Laajennettu superpalonesto (1)
Extended super antifire(2);Laajennettu superpalonesto (2)
Extended super antifire(3);Laajennettu superpalonesto (3)
Eye of gnome;Tontun silmä
Extradimensional bag;Ylimääräinen laukku
Fake beak;Väärennetty nokka
Fairy enchantment;Keijun lumoa
Extra weapons rack;Ylimääräinen asehylly
Eye of newt;Newtin silmä
Fairy mushroom;Keiju sieni
Facemask;Hengityssuojain
Fairy ring;Keiju sormus
Eye of newt pack;Eye of newt pack
Falconer's glove;Falconerin hansikas
Fake man;Väärä mies
Falador shield;Falador-kilpi
Falador shield 4;Falador-kilpi 4
Falador teleport;Falador teleporttaa
Falador shield 1;Falador-kilpi 1
Falador shield 2;Falador-kilpi 2
Fake dragon hasta(kp);Väärennetty lohikäärme hasta (kp)
Fake beard;Väärä parta
Falador shield 3;Falador-kilpi 3
Fancy teak dresser;Tyylikäs teak lipasto
Fang;Fang
Fancy range;Hieno valikoima
Fancy rejuvenation pool;Tyylikäs virkistysallas
Fancy boots;Tyylikkäät saappaat
Family crest;Perheen harja
Fancy hedge;Tyylikäs pensasaita
Fancy tiara;Tyylikäs tiara
Farmer;Maanviljelijä
Fancy jewellery box;Tyylikäs korurasia
Farmer's boro trousers;Farmerin borohousut
Farming cape;Maatalousviitta
Farming manual;Maanviljelyn käsikirja
Farmer's jacket;Maanviljelijän takki
Farming cape(t);Viljelyniemi(t)
Farming hood;Maatalouden huppu
Farmer's boots;Maanviljelijän saappaat
Farmer's strawhat;Maanviljelijän olki
Farmer's fork;Maanviljelijän haarukka
Farmer's shirt;Maanviljelijän paita
Fayrg bonemeal;Fayrg luujauho
Feldip hills teleport;Feldip hills teleporttaa
Feather pack;Höyhenpakkaus
Fat snail;Lihava etana
Fat snail meat;Rasvainen etanan liha
Farseer helm;Farseerin ruori
Fedora;Fedora
Fayrg bones;Fayrgin luut
Feather;Sulka
Feathered journal;Sulkainen päiväkirja
Feldip weasel fur;Feldip lumikko turkista
Ferocious gloves;Raivokkaat hanskat
Fern;Saniainen
Festive flour;Juhlava jauhot
Fenkenstrain's castle teleport;Fenkenstrainin linnan teleportti
Female h.a.m.;Nainen h.a.m.
Festive cinnamon stick;Juhlallinen kanelitanko
Fencing ring;Miekkailu rengas
Ferret;Fretti
Festive egg;Juhlamuna
Festive ginger powder;Juhlallista inkiväärijauhetta
Fighter hat (broken);Taistelijahattu (rikki)
Field ration;Kenttäannos
Fez;Fez
Field arrow;Kentän nuoli
Festive pot;Juhlava ruukku
Fibula piece;Fibula pala
Fever spider body;Kuume hämähäkin vartalo
Fighter hat;Taistelija hattu
Fever spider;Kuume hämähäkki
Fine cloth;Hieno kangas
Fighter torso (l);Taistelijavartalo (l)
Fighter torso (broken);Taistelijan vartalo (rikki)
Fighter hat (l);Taistelijahattu (l)
Fighter torso;Taistelijan vartalo
Fine mesh net;Hieno verkko
Fingernails;Kynnet
Fighting boots;Taistelu saappaat
Filled plant pot;Täytetty ruukku
Fillets;Fileet
Fire battlestaff;Palotaistelun esikunta
Fire cape (l);Tuliviitta (l)
Fire giant bone;Tuli jättiläinen luu
Fire max cape (broken);Fire max viitta (rikki)
Fingers;Sormet
Fire feather;Tuli höyhen
Fire cape;Tuli viitta
Fire;Palo
Fire cape (broken);Tuliviitta (rikki)
Fire max cape;Fire max viitta
Fire max hood;Fire max huppu
Fire of nourishment;Ravinnon tuli
Fire of dehumidification;Kosteudenpoiston tulipalo
